id,attribute_name,definition,model,structured_comment_name,value_syntax,allowed_units,occurance,ontology_link,note
335,specimen voucher,"""identifier for the specimen from which the nucleic acid sequenced was obtained. Please note structured vouchers include institution-codes (and optional collection-codes) are taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides: ftp://ftp.ncbi.nlm.nih.gov/pub/taxonomy/coll_dump.txt""","""INSDC""","""specimen_voucher""","""[<institution-code>:[<collection-code>:]]<specimen_id>""","",1,"",""
336,isolate,"""individual isolate from which the sequence was obtained""","""INSDC""","""isolate""","","",1,"",""
337,isolation source,"""describes the physical, environmental and/or local geographical source of the biological sample from which the sequence was derived""","""INSDC""","""isolation_source""","","",1,"",""
338,cell type,"""cell type from which the sequence was obtained""","""INSDC""",cell_type,"","",1,"",""
339,pooling details,"""description of which samples have been pooled together in an experiment, could be protein extracts, DNA, metabolites, or tissue/specimen""","","""pool_details""","","",1,"",""
340,sample age,"""the estaimated age of an ancient sample, e.g. a fossil""","","""sample_age""","","",1,"",""
341,metabolic state,"""the state of the organism at time of sampling, e.g. hibernating, active""","","""metabolic_state""","","",1,"",""
342,strain,"""strain from which sequence was obtained""","""INSDC""","""strain""","","",1,"",""
343,culture temperature,incubation temperature of cell/tissue culturing ,"",cult_temperature,number,degree celcius,1,"",""
344,PX_instrument,"Specify all instruments used in your experiment. There is a commonly used list of instruments predefined here, but if yours is not shown please include it in the Others text box.  ",PX,PX_instrument,text,"",m,"",""
345,PX_modification,"""Specify all modifications used in your experiment. There is a commonly used list of modificaKons predefined here, but if yours is not shown please include it in the Others text box.  If no modifications are involved in your experiment, then you should choose No PTMS.""",PX,PX_modification,text,"",m,"",""
346,PX_quantification,"Specify all quantification methods used. There is a list commonly used methods predefined here, but if yours is not shown please include it in the Others text box.",PX,PX_quantification,text,"",m,"",""
347,last_modified,the date the file was last modified,modified,last_modified,date,"",1,"",""
348,Fairly Use Policy,"","",Fairly Use Policy,"","","","",""
349,PX_experiment_type,"Specify the experimental method used, select from predefined list, if yours is not shown please include it in the others text box.",PX,PX_experiment_type,text,"",1,"",""
350,Parturition mechanism,the mechanism of birth/delivery of progenythe mechanism of birth/delivery of progeny,PX,parturition_mechanism,text,"",1,"",""
351,Analyte type,"The analyte being assayed from the sample (e.g. DNA for sequencing, peptide for MS, etc)","",analyte_type,"","",m,"",""
352,Aphia_ID,The identifier for the Aphia (http://www.marinespecies.org/aphia.php) taxonomy from the world register of marine species.,"",Aphia_ID,"","",1,"",""
353,Cruise,The name or ID of the (scientific) cruise during which the sample/specimen was collected/observed.,"",cruise,text,"",m,"",""
354,cultivar,The cultivar name. Cultivar is a plant or grouping of plants that can be maintained by propagation. Most cultivars have arisen in cultivation but a few are special selections from the wild.,"",cultivar,text,"",1,"",""
355,Days after parturition,"the number of days after the seperation of progeny from womb (either by birth or C-section, etc.)","",days_after_parturition,measurement value,"",1,"",""
356,Description,"description of the sample (may include many attributes as human readable text, but these should also be added as independent attribute:value pairs).","",description,text,"",1,"",""
357,Exp_Scan method,"","",Exp_Scan method,"","",m,"",""
358,Exp_Scan_name,"","",Exp_Scan_name,"","",m,"",""
359,Exp_Scan_parameters,"","",Exp_Scan_parameters,"","",m,"",""
360,Exp_Scan_resolution,"","",Exp_Scan_resolution,"","",m,"",""
361,Exp_Scanner,"","",Exp_Scanner,"","",m,"",""
362,Experiment type,"the name of the type of experiment perfromed, e.g. MS/MS, sequencing, DNA extraction, imaging, etc","",experiment_type,text,"",m,"",""
363,Food name,"the name of the feed used to grow/maintain the host/subject, (usually laboratory reared animals).","",food_name,text,"",m,"",""
364,Food supplier,the name of the feed supplier (usually laboratory reared animals).,"",food_supplier,text,"",m,"",""
365,histological type,"","",histological_type,text,"",1,"",""
366,is tumor,"""is this sample of a tumor (cancer) or from a normal non-cancerous (germline) part of the host organism? Yes = tumor cells, no=germline""","",is tumor,yes/no,"",1,"",""
367,molecular data type,"","",mol_data_type,text,"",1,"",""
368,subject supplier,"the institute/organisation that bred and supplied the subject (mouse, rat etc).","",subject_supplier,text,"",1,"",""
369,Passage number,"the number of times the culture has been passaged (had the growth medium refreshed/changed), it is an indication of the relative age of the cells.","",passage_number,enumerate,"",1,"",""
370,patient outcome,"","",patient_outcome,text,"",1,"",""
371,submitted species name,The species binomial where the author/submitter believes it to be more appropriate/relevant than the NCBI-taxonomy name,"",species_author,text,"","","",""
372,alternative accession-INSDC,"","",alternative accession-INSDC,"","","","",""
373,breed,"A breed is a specific group of domestic animals (nb. for plants use the term variety instead) having homogeneous appearance, homogeneous behavior, and other characteristics that distinguish it from other animals of the same species and that were arrived at through selective breeding.","",breed,text,"",1,"",""
374,cancer stage,the clinical stage of the cancer at point of sample collection,"",cancer_stage,text,"",1,"",""
375,sample reference,the citation of a reference that initially published the sample being reused here,"",sample_ref,text,"",1,"",""
376,estimated genome size,"An estimate of the size of the genome of the species being studied, in basepairs (Gb, Mb or Kb)","",est_genome_size,text,"",1,"",""
377,genetic background,description of the strains/genotypes of the in-bred laboratory animals being examined,"",genetic_bkgrnd,text,"",1,"",""
378,growth temperature,temperature at which the sample was grown/cultured prior to sampling,"",growth_temp,enumerate,degree Celcius,1,"",""
379,institution_code,"the SRA and/or commonly used acronym for an institute, e.g. European Bioinformatics Institute = EBI","",inst_code,text,"",1,"",""
380,medip antibody,the anti body used in the Methylated DNA immunoprecipitation (MeDIP) step of sample preparation.,"",medip_antibody,text,"",1,"",""
381,patient,"The unique identifier given to a patient in a study, this should not be the national or hospital ID and it should be fully anonymised","",patient,text,"",1,"",""
382,sample type,"The type of sample/sampling used /collected, this could be DNA for sequencing experiments, or tissue samples for microscopy etc","",sample_type,text,"",1,"",""
383,serovar,The name used to determine the serotype/serovar being examined. Serotype or serovar are distinct variations within a species of bacteria or viruses or among immune cells of different individuals.,"",serovar,text,"",1,"",""
384,hibernation state,"Breif description of metabolic state at time of sampling, can include time since start of hibernation. Hibernation is a state of inactivity and metabolic depression.","",hibernation,text,"",1,"",""
385,study design,"basic study design, e.g tumour vs matched normal could be used for a study of somatic mutations in cancer.","",study_design,text,"",1,"",""
386,subject is affected,boolean statement of whether the subject/patient/sample source is affected by the disease being studied (i.e. is this subject a case or control?),"",sub_affected,yes/no,"",1,"",""
387,variety,"A variety is a specific sub-group of a species of plant (nb. for animals use the term breed instead) having homogeneous appearance, homogeneous behavior/traits, and other characteristics that distinguish it from other plants of the same species and that were arrived at through selective breeding.","",variety,text,"",1,"",""
388,antibody-catalog number,"","",antibody_cat_no,"","","","",""
389,antibody-lot number,"","",antibody_lot_no,"","","","",""
390,antibody-manufacturer,"","",antibody_mfr,"","","","",""
391,geographic location (latitude),"The geographical latitudinal origin of the sample, the value should be reported in decimal degrees and in WGS84 system","",latitude,number,"","","",""
392,geographic location (longitude),"The geographical longitudinal origin of the sample, the value should be reported in decimal degrees and in WGS84 system","",longitude,number,"","","",""
393,"geographic location (country and/or sea,region)","","",geographic location (country and/or sea),"","","","",""
394,patient ID,"","",patient_ID,"","","","",""
395,alt acc SRA sample,"","",alt_acc_SRA_sample,"","","","",""
396,Electrical Conductivity(EC),"Electrical conductivity (EC) is a measurement of the dissolved material in an aqueous solution. EC is measured in Seimens per unit area (e.g. mS/cm, or miliSeimens per centimeter), and the higher the dissolved material in a water or soil sample, the higher the EC will be in that material.","",elec_conductivity,measurement value,"","","",""
397,Phosphorus (Olsen.P),The Olsen P test was originally developed in to estimate plant available levels of Phosphorus in alkaline soils. ,"",olsen_p,measurement value,"","","",""
398,number of words,number of words in file,"",num_words,"","","","",""
399,number of lines,number of lines in file,"",num_lines,"","","","",""
400,number of nucleotides,number of nucleotides in file,"",num_nucleotides,"","","","",""
401,number amino acids,number amino acids in file,"",num_amino_acids,"","","","",""
402,number of rows,number of rows in file,"",num_rows,"","","","",""
403,number of columns,number of columns in file,"",num_columns,"","","","",""
404,number of files,number of files in folder,"",num_files,"","","","",""
405,file size,file size,"",file_size,"","","","",""
406,reaction vessel volume,the volumetric size of the vessel in which the fermentation/reaction was carried out ,"",reaction_vessel_volume,"","","","",""
407,reaction vessel hight,the hight of the vessel in which the fermentation/reaction was carried out,"",reaction_vessel_hight,"","","","",""
408,reaction vessel diameter,the diameter of the vessel in which the fermentation/reaction was carried out,"",reaction_vessel_diameter,"","","","",""
409,reaction vessel Electrical capacity,the electrical capacity of the vessel in which the fermentation/reaction was carried out,"",reaction vessel Electrical capacity,"","","","",""
410,Conductivity,(or specific conductance) of an electrolyte solution is a measure of its ability to conduct electricity. The SI unit of conductivity is siemens per meter (S/m).,"",Conductivity,"","","","",""
411,volatile organic acids (VOA),(or VOC) a measure of the quantity of VOCs present,"",volatile_organic_acids_(VOA),"","","","",""
412,Total inorganic carbon (TIC),(or IC) a measure of the all inorganic carbon present,"",Total_inorganic_carbon_(TIC),"","","","",""
413,VOA/TIC,"ratio of volatile organic carbon to total carbon, a measure of the fermentation process","",VOA/TIC,"","","","",""
414,Ammoniacal nitrogen,Ammoniacal nitrogen,"",Ammoniacal_nitrogen,"","","","",""
415,Acetic acid,(or ethanoic acid)  CH₃COOH is a colourless liquid that when undiluted is also called glacial acetic acid.,"",Acetic_acid,"","","","",""
416,Propionic acid,Propionic acid is a naturally occurring carboxylic acid with chemical formula CH₃CH₂COOH. It is a clear liquid with a pungent and unpleasant smell somewhat resembling body odor.,"",Propionic_acid,"","","","",""
417,Fed substrates,the substrates provided during the experiment/fermentation ,"",Fed_substrates,"","","","",""
418,Organic load,the amount of organic dry matter per cubic meter per day provided as substrate for fermentation,"",Organic_load,"","","","",""
419,Retention time,the period of time taken for substrate to pass through the vessel,"",Retention_time,"","","","",""
420,Biogas yield,"a measure of the biogas volume produced in reaction vessel, given as value per unit of substrate","",Biogas_yield,"","","","",""
421,Methane yield,"a measure of the methane volume produced in reaction vessel, given as value per unit of substrate","",Methane_yield,"","","","",""
422,111,"","","","","","","",""
423,PX_experiment_type,"Specify the experimental method used, select from predefined list, if yours is not shown please include it in the others text box.",PX,PX_experiment_type,text,"",1,"",""
424,PX_data_processing_protocol,"Specify a short description of the data processing protocol being followed. Please provide a couple of sentences on the bioinformatics pipeline used, main search parameters, quantitative analysis, softwarre tools and versions included. Something similar to the Data analysis section of your manuscript, only shorter.",PX,PX_Data_processing,text,"",1,"",""
425,PX_sample_processing_protocol,"A short description of the sample processing protocol being followed, including preparation, separation, enrichment strategies and mass spectrometry protocols.",PX,PX_samp_process_prot,text,"",1,"",""
426,PX_keywords,keywords that describe the nature of the experiment.,PX,PX_keywords,text,"",m,"",""
427,ethnicity,"","",ethnicity,"","","","",""
428,cell line,"","",cell_line,"","","","",""
429,biomaterial provider,"","",biomaterial_provider,"","","","",""
430,OM-MapCard number,The unique alphanumeric ID for the collected OpGen(Argus) MapCard ,The unique alphanumeric ID for the collected OpGen(Argus) MapCard ,OM_MapCard_no,"","",1,"",file-attribute used on Argus Optical Mapping MapCard files
431,OM-Date Assigned,The date the MapCard was assigned to the project ,MapCard,OM_Date_assigned,date,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
432,OM-Molecules found,The number of molecules recognized by the software ,MapCard,OM_Mol_found,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
433,OM-Molecule quality,The average quality score of all recognized molecules ,MapCard,OM_Mol_qual,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
434,OM-Average fragment size,The average restriction fragment size for all recognized molecules. This value is used as an indicator of the digestion rate,MapCard,OM_Ave_frag_size,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
435,OM-Average molecule size,The average molecule size (kb) ,MapCard,OM_Ave_mol_size,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
436,OM-Histogram(kb),A measure of DNA length reflecting the average rate of sheering of the DNA in solution ,MapCard,OM_Histogram,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
437,OM-Yield,An estimate of the fraction of DNA on a surface that the system was able to identify as SMRMs ,MapCard,OM_Yield,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
438,OM-Background intensity,A measure of the background image intensity ,MapCard,OM_Background,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
439,OM-Gap std dev,The standard deviation of gap size measured in pixels ,MapCard,OM_Gap_std_dev,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
440,OM-Gap max,The largest gap in a molecule measured in pixels ,MapCard,OM_Gap_max,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
441,OM-Signal to noise ratio,"In the MapCards page, the average Signal (DNA) to Noise ratio of the collected lanes ",MapCard,OM_Sig_noise,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
442,OM-Molecules per image,The average number of recognized molecules per image. Each lane typically contains 70-100 overlapping images,MapCard,OM_Mol_per_image,numeric,"",1,"",file-attribute used on Argus Optical Mapping MapCard files
443,isolate,isolate,"",isolate,"","","","",""
444,tissue,tissue,"",tissue,text,"","","",""
445,alternative accession-MGRAST,"","",alternative_accession-MGRAST,"","","","",""
446,analyte,analyte,"",analyte,"","","","",""
447,alternative accession-ENA,"","",alt_acc_ENA,"","","","",""
448,alternative accession-biosample,"","",alt_acc_biosample,"","","","",""
449,alias,"","",alias,"","","","",""
450,high or length,"","",high_or_length,"","","","",""
451,Species-a,"","",species-a,"","","","",""
453,feature,"","",Feature,"","","","",""
454,material,"","",Material,"","","","",""
455,keyword,"","",keywords,"","","","",""
456,growth_protocol,"","",growth_protocol,"","","","",""
457,elevation,elevation,"",elevation,"","","","",""
458,alternative name,alternative name,"",alternative_name,"","","","",""
459,locus_tag_prefix,"","",locus_tag_prefix,"","",m,"",""
460,host_tissue_sampled,"","",host_tissue_sampled,"","",m,"",""
461,identified_by,"","",identified_by,"","",m,"",""
462,alternative accession-GenBank,"","",GenBank_accession_number,"","",m,"",""
463,specimen_voucher,"","",specimen_voucher,text,"",m,"",""
464,alternative accession-RefSeq,"","",alternative_accession-RefSeq,"","",1,"",""
465,SRR ID,"","",SRR_ID,"","",1,"",""
466,number of files in archive,"","",number of files in archive,number,"",m,"",""
467,shrub-number,"","",shrub-number,number,"",m,"",""
468,microsite_type,"","",microsite_type,text,"",m,"",""
469,camera orientation,"","",camera_orientation,text,"",m,"",""
470,Camera_ID,"","",camera_ID,text,"",m,"",""
471,camera type,"","",camera_type,text,"",1,"",""
472,camera parameters,"","",camera_parameters,text,"",m,"",""
473,hair colour,"","",hair_colour,text,"",1,"",""
474,blood type,"","",blood_type,text,"",1,"",""
475,RRID,Research Resource Identifiers (RRIDs) are designed to help researchers sufficiently cite the key resources used to produce the scientific findings reported in the biomedical literature.,GigaDB,RRID,"","",m,"",https://scicrunch.org/resolver/
476,alternative accession-BioSample,alternative accession-BioSample,"",alternative accession-BioSample,"","","","",""
477,collected by,collected by,"",collected by,"","","","",""
478,Analyte type,Analyte type,"",Analyte type,"","","","",""
479,plant body site,plant body site,"",plant body site,"","","","",""
480,collection date,collection date,"",collection date,"","","","",""
481,"""life stage seed""","""life stage seed""","","""life stage seed""","","","","",""
482,life stage,life stage,"",life stage,"","","","",""
483,growth habit,"characteristic shape, appearance or growth form of a plant species; controlled vocabulary: erect, semi-erect, spreading, prostrate","",growth_habit,"","","","",""
484,plant structure,"name of plant structure that the sample was obtained from; for Plant Ontology (PO) (v 20) terms, see http://purl.bioontology.org/ontology/PO, e.g. petiole epidermis (PO_0000051), if an individual flower is sampled, the sex of it can be recorded here","",plant_structure,"","","","",""
485,sample health state,"","",sample_health_state,"","","","",""
486,urltoredirect,"","","","","","","",""
